2024-06-17 02:34:55 [main] INFO  utils.BaseTest - Setting up for test class: TestCase1_HomePageVisible
2024-06-17 02:35:03 [main] INFO  utils.BaseTest - Test setup complete for class: TestCase1_HomePageVisible
2024-06-17 02:35:03 [main] INFO  utils.BaseTest - Starting test case: verifyHomePageIsVisibleSuccessfully
2024-06-17 02:35:03 [main] INFO  utils.BaseTest - Verifying if the home page is visible
2024-06-17 02:35:03 [main] INFO  utils.BaseTest - Test passed: Home page is visible
2024-06-17 02:35:04 [main] INFO  utils.BaseTest - Browser closed and resources released.
2024-06-17 02:35:05 [main] INFO  utils.BaseTest - Setting up for test class: TestCase19_AddProductToCart
2024-06-17 02:35:10 [main] INFO  utils.BaseTest - Test setup complete for class: TestCase19_AddProductToCart
2024-06-17 02:35:10 [main] INFO  utils.BaseTest - Stating test case : AddProductToCart
2024-06-17 02:35:10 [main] INFO  utils.BaseTest - Verifying home page is visible or not
2024-06-17 02:35:10 [main] INFO  utils.BaseTest - Test passed: Home page is visible
2024-06-17 02:35:10 [main] INFO  utils.BaseTest - Verifying search products are visible or not
2024-06-17 02:35:13 [main] INFO  utils.BaseTest - Searching for product: mobile
2024-06-17 02:35:13 [main] INFO  utils.BaseTest - Test case passed: Searched product mobile is visible
2024-06-17 02:35:14 [main] INFO  utils.BaseTest - Verifying product details are visible or not
2024-06-17 02:35:16 [main] INFO  utils.BaseTest - Test case passed: Product title displayed
2024-06-17 02:35:16 [main] INFO  utils.BaseTest - Test case passed: Product price displayed
2024-06-17 02:35:17 [main] INFO  utils.BaseTest - Verifying cart page is visible or not
2024-06-17 02:35:17 [main] INFO  utils.BaseTest - Test passed: Cart page is visible
2024-06-17 02:35:17 [main] INFO  utils.BaseTest - Verifying product added to cart or not
2024-06-17 02:35:17 [main] INFO  utils.BaseTest - Test passed: Product added to cart
2024-06-17 02:35:18 [main] INFO  utils.BaseTest - Browser closed and resources released.
2024-06-17 02:35:18 [main] INFO  utils.BaseTest - Setting up for test class: TestCase20_PlaceOrderForAddedProductInCart
2024-06-17 02:35:31 [main] INFO  utils.BaseTest - Test setup complete for class: TestCase20_PlaceOrderForAddedProductInCart
2024-06-17 02:35:31 [main] INFO  utils.BaseTest - Stating test case : PlaceOrderForAddedProductInCart
2024-06-17 02:35:31 [main] INFO  utils.BaseTest - Verifying home page is visible or not
2024-06-17 02:35:31 [main] INFO  utils.BaseTest - Test passed: Home page is visible
2024-06-17 02:35:31 [main] INFO  utils.BaseTest - Verifying search products are visible or not
2024-06-17 02:35:35 [main] INFO  utils.BaseTest - Searching for product: mobile
2024-06-17 02:35:35 [main] INFO  utils.BaseTest - Test case passed: Searched product mobile is visible
2024-06-17 02:35:35 [main] INFO  utils.BaseTest - Verifying product details are visible or not
2024-06-17 02:35:38 [main] INFO  utils.BaseTest - Test case passed: Product title displayed
2024-06-17 02:35:38 [main] INFO  utils.BaseTest - Test case passed: Product price displayed
2024-06-17 02:35:38 [main] INFO  utils.BaseTest - Verifying cart page is visible or not
2024-06-17 02:35:39 [main] INFO  utils.BaseTest - Test passed: Cart page is visible
2024-06-17 02:35:39 [main] INFO  utils.BaseTest - Verifying product added to cart or not
2024-06-17 02:35:39 [main] INFO  utils.BaseTest - Test passed: Product added to cart
2024-06-17 02:35:39 [main] INFO  utils.BaseTest - Verifying product removed from cart
2024-06-17 02:35:41 [main] INFO  utils.BaseTest - Test passed: Details filling field visible
2024-06-17 02:35:42 [main] INFO  utils.BaseTest - Browser closed and resources released.
